img,filename,caption,sentid
14170,3495815292.jpg,A red-haired man rests on a railing.,70854
27470,6155571589.jpg,The runner clearly is determined as he crawls to the finish-line while onlookers attempt to help him.,137350
27470,6155571589.jpg,An African-American man crawls down an asphalt street in a running uniform.,137351
27470,6155571589.jpg,"A man helps a runner who has fallen, up from the ground.",137352
27470,6155571589.jpg,A man trying hard to finish a race,137353
27470,6155571589.jpg,A weary man is finishing a race.,137354
29092,7139154793.jpg,"A group of race horses bearing the numbers 2, 6, and 8 are racing along a grass track.",145460
29092,7139154793.jpg,The races are off as three jockeys ride their horses out of the starting gate.,145461
29092,7139154793.jpg,A pack of horses close together just out of the gate at a horse race.,145462
29092,7139154793.jpg,Men fighting for position in a heated horse race.,145463
29092,7139154793.jpg,A group of jockeys during a horse race.,145464
10610,3070031806.jpg,A dog running on the sand by the beach while his owner looks at the other dogs on the beach.,53050
10610,3070031806.jpg,A man is standing at the shoreline on the beach with 4 dogs.,53051
10610,3070031806.jpg,A man is standing in front of 4 dogs on the beach.,53052
10610,3070031806.jpg,Man watching four dogs play on the beach,53053
10610,3070031806.jpg,A man and 4 dogs playing on the beach.,53054
16694,384465370.jpg,Two people in red outfits riding their bicycles down a dirt road.,83470
16694,384465370.jpg,Two cyclist wearing red shirts going over a red hill,83471
16694,384465370.jpg,Two people ride their bikes down a dirt road.,83472
16694,384465370.jpg,Two cyclists atop a hill as seen from below.,83473
16694,384465370.jpg,Two people riding their bikes on a hill.,83474
12526,3301438465.jpg,Three ball players in uniform stretch on a striped green surface in front of a large crowd and signage.,62630
12526,3301438465.jpg,Three men wearing white uniforms stand on a grass field in front of a crowd.,62631
12526,3301438465.jpg,People in white standing on sports field while crowd watches from stands,62632
12526,3301438465.jpg,Three baseball players are on the field while a large crowd is watching,62633
12526,3301438465.jpg,Three men stand on a sports field in front of a large crowd.,62634
20452,458735196.jpg,"This is a strange sight, a dog delivering a cookie.",102260
20452,458735196.jpg,A dog with a wrinkled face bites on a pink toy.,102261
20452,458735196.jpg,The dog is carrying a pink ball in its mouth.,102262
20452,458735196.jpg,"A brown dog indoors, with a large pink toy.",102263
20452,458735196.jpg,A wrinkled dog playing with a pink chew toy,102264
7635,2678792892.jpg,A young girl wearing a blue t-shirt is sitting on a towel eating a snow cone with a spoon.,38175
7635,2678792892.jpg,A little girl with a blue shirt on and eating some type of red drink.,38176
7635,2678792892.jpg,Little kid sits at the side of a pool having a snack.,38177
7635,2678792892.jpg,A little girl enjoying a frozen treat on the beach.,38178
7635,2678792892.jpg,A young girl enjoys a frozen treat by the pool.,38179
17689,4084558283.jpg,"Three dogs pulling a man in a brown jumpsuit and a baby in a blue snowsuit, on a sled in a snowy forest.",88445
17689,4084558283.jpg,The man is giving the child a ride on his dog sled.,88446
17689,4084558283.jpg,Man and his sled dogs traveling down a snowy road.,88447
17689,4084558283.jpg,Man dog sledding with his child in the icy snow.,88448
17689,4084558283.jpg,Man and child being pulled by three dogs.,88449
4880,233066798.jpg,"Whole families, including children, donned hard hats to observe the rig on the edge of town.",24400
4880,233066798.jpg,A large group of people wearing red construction hats are observing a blue and red oil well.,24401
4880,233066798.jpg,Crowd of people with red construction hats standing around a oil pump.,24402
4880,233066798.jpg,A crowd of people in red helmets are looking toward an oil well.,24403
4880,233066798.jpg,A group of workers showing up for there job,24404
9848,2970827076.jpg,A man waits for business behind the counter of a tourist shop in London.,49240
9848,2970827076.jpg,A man wearing a black top is standing behind a counter in a store.,49241
9848,2970827076.jpg,A clerk at a store is idling a waiting for next customer.,49242
9848,2970827076.jpg,A guy stands at his london tourist stand.,49243
9848,2970827076.jpg,A man is leaning on a counter.,49244
4898,233270519.jpg,"A man in swim trunks hits a ball with a paddle, while on the beach.",24490
4898,233270519.jpg,The man is standing on the shore hitting a ball with a paddle.,24491
4898,233270519.jpg,A muscular man in swim trunks plays paddle ball on the beach,24492
4898,233270519.jpg,A man is batting a ball on the beach beside the ocean.,24493
4898,233270519.jpg,Man in a bathing suit holding a paddle on the beach,24494
26499,5558777621.jpg,A man in a hat and torn pants plays a violin while sitting on a bucket in front of large windows.,132495
26499,5558777621.jpg,"Young man, in torn pants, sitting on the ledge of a window, playing a violin.",132496
26499,5558777621.jpg,Young bearded man in shoddy clothes and a ball cap plays a violin,132497
26499,5558777621.jpg,A man sits on a bucket in the concourse playing a violin.,132498
26499,5558777621.jpg,A man in torn clothing playing a vi violin.,132499
3338,2099852435.jpg,"Three kids are playing on the beach, one with a fishing pole, one putting his shirt on, and one leaning on the sidewalk.",16690
3338,2099852435.jpg,"Young children, in swim trunks, relax atop of and fish over a seawall, near a rack of fishing poles.",16691
3338,2099852435.jpg,Three males on the edge of the water with fishing gear.,16692
3338,2099852435.jpg,A child with a blue shirt on holding a fishing pole.,16693
3338,2099852435.jpg,Children playing and fishing on a beach.,16694
21675,4699379376.jpg,An elderly gentleman and a lady are looking at something that cannot be seen in the photograph.,108375
21675,4699379376.jpg,"The man in a green shirt, returned a ball, while playing tennis, and won his match.",108376
21675,4699379376.jpg,"An older male in a black sweater, and an older female in a pink blazer looking up.",108377
21675,4699379376.jpg,Two elderly people look up towards an unseen happening in a neighborhood.,108378
21675,4699379376.jpg,An old man and woman peer at something in the sky.,108379
28022,6472693569.jpg,On a bright and sonny day a man with blue trunks and white and blue shirt appears to be preparing to take a canoe ride,140110
28022,6472693569.jpg,A man wearing a white shirt and blue shorts is leaning over a canoe at the end of a dock.,140111
28022,6472693569.jpg,A woman preparing her kayak for pleasant row across a beautiful day on the lake.,140112
28022,6472693569.jpg,"One man is bent on a pier, next to a kayak on the water.",140113
28022,6472693569.jpg,A couple guys entering rowboats on a dock.,140114
8753,2831656774.jpg,The woman is guiding a brown and white dog over a tall white fence on an obstacle course.,43765
8753,2831656774.jpg,Lady in blue top and dark pants astride a white and brown dog leaping a hurdle.,43766
8753,2831656774.jpg,The dog jumps over the high jump bars in a dog show as the owner looks on.,43767
8753,2831656774.jpg,A woman leads a dog to jump a tall hurdle in a competition.,43768
8753,2831656774.jpg,A dog jumps over a very high barrier at a competition,43769
18660,4334910609.jpg,An ambulance parked on the side of a road with its lights on.,93300
18660,4334910609.jpg,An ambulance on the street with its lights on at night.,93301
18660,4334910609.jpg,An ambulance is on the road at night.,93302
18660,4334910609.jpg,An ambulance is near a pine tree.,93303
18660,4334910609.jpg,An ambulance going down the road.,93304
24722,4944187613.jpg,"A man with a beard and mustache, wearing a baseball cap and sunglasses, and holding a stick is standing near a chain link fence.",123610
24722,4944187613.jpg,An old man with a blue hat and sunglasses stands by a chain link fence.,123611
24722,4944187613.jpg,The older man talks a walk with his walking stick.,123612
24722,4944187613.jpg,Old man standing with white t-shirt and hat.,123613
24722,4944187613.jpg,Man in sunglasses and cap walking.,123614
28411,6828084858.jpg,Surfer surfing in a beautiful with birds around and waves with beautiful texture,142055
28411,6828084858.jpg,"Man in res and black wetsuit surfing, with a seagull in the foreground.",142056
28411,6828084858.jpg,A seagull appears at the left corners as a surfer attempts a minor wave.,142057
28411,6828084858.jpg,A man in red pants surfs in the ocean while seagulls fly above.,142058
28411,6828084858.jpg,Man surfing with a seagull in the foreground.,142059
21092,4652704643.jpg,A blond girl is fixing her high heels on a street curb while a man in a black shirt looks at his mobile device.,105460
21092,4652704643.jpg,A blond woman sitting on a curb at night while a man with a black shirt stands over her and checks his phone.,105461
21092,4652704643.jpg,A man in dark clothing photographs a model sitting in a shopping mall parking lot.,105462
21092,4652704643.jpg,The woman is fixing her shoes while the man looks at his cellphone.,105463
21092,4652704643.jpg,A man and woman in a parking lot at night.,105464
5146,236557331.jpg,A man in a white shirt and a woman in a white blouse are spreading butter and jelly on their biscuits.,25730
5146,236557331.jpg,The people are preparing food to serve on paper plates on a wooden table.,25731
5146,236557331.jpg,A lone little girl surrounded by adults is eating cake.,25732
5146,236557331.jpg,A family prepares the dinner table for a party.,25733
5146,236557331.jpg,People setting up the table to eat.,25734
10851,309777765.jpg,Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.,54255
10851,309777765.jpg,Three people are around a circular cutting board chopping food.,54256
10851,309777765.jpg,3 men in uniforms are preparing food on a large surface.,54257
10851,309777765.jpg,People making food on a giant turntable fryer.,54258
10851,309777765.jpg,Several men cooking on a giant hot plate,54259
3479,2119660490.jpg,"A brown dog is laying on his side on a beige carpet, with a green object in the foreground.",17395
3479,2119660490.jpg,A brown dog is rolling on its back on a carpet with several green toys nearby.,17396
3479,2119660490.jpg,A brown dog is laying on its back on a white carpet with a green ball on it.,17397
3479,2119660490.jpg,The dog is laying on its back near a green ball.,17398
3479,2119660490.jpg,A dog lies on its back on a dog bed.,17399
25586,5142968059.jpg,A male musician dressed in black with a guitar pick in his mouth performs during a concert playing the guitar looking out at the crown with a back drop of a single stage light and Jumbo screens.,127930
25586,5142968059.jpg,A man plays an electric guitar on stage with a pick in his mouth.,127931
25586,5142968059.jpg,A man in a spotlight playing guitar with a pick in his mouth.,127932
25586,5142968059.jpg,A man holds a guitar on stage during a concert.,127933
25586,5142968059.jpg,A guitarist performs on stage.,127934
2611,187907408.jpg,"Two men both wearing sandals, talking while walking in front of a retail store area.",13055
2611,187907408.jpg,"A tall man and a shorter man walking and talking, wearing the same sandals.",13056
2611,187907408.jpg,This is a multiracial conversation between men walking in a warm climate.,13057
2611,187907408.jpg,Two men in sandals walk on the street.,13058
2611,187907408.jpg,Two men wearing sandals walking.,13059
29819,7685939782.jpg,A man with a blue hat and vest is holding a rife with his finger on the trigger.,149095
29819,7685939782.jpg,A young man is participating in a competitive gun shooting event.,149096
29819,7685939782.jpg,A man wearing a uniform and red glasses holds a rifle.,149097
29819,7685939782.jpg,A man wearing a blue cap holds a rifle.,149098
29819,7685939782.jpg,A man shoots a gun at a competition.,149099
23980,4885036157.jpg,A man and a woman pose together awaiting their picture to be taken by a kneeling photographer surrounded by graffiti.,119900
23980,4885036157.jpg,Photographer shooting picture of lovers in underground surrounded by graffiti.,119901
23980,4885036157.jpg,A couple embraces against a graffited pillar while a man take a photo.,119902
23980,4885036157.jpg,A couple embracing as their picture is taken by a male photographer.,119903
23980,4885036157.jpg,A couple poses for a picture in front of graffiti art.,119904
11551,3185645793.jpg,One person jumping his bike towards the camera while another one in the background is walking his bike away from the camera.,57755
11551,3185645793.jpg,A man wearing a blue shirt and matching helmet is jumping his bike over a hill.,57756
11551,3185645793.jpg,A mountain biker riding on a hillside wearing a helmet.,57757
11551,3185645793.jpg,A bike rider jumping the hill on his bicycle.,57758
11551,3185645793.jpg,A man leaving the ground on a bicycle.,57759
16536,3816206376.jpg,"A man with a ""used cars"" advertisement atop his car drives down the street.",82680
16536,3816206376.jpg,A man in a used car is holding his hand out the window and taking a picture.,82681
16536,3816206376.jpg,A man is driving a car with a sign on the roof advertising used cars,82682
16536,3816206376.jpg,The passenger is holding onto the load on top of the car.,82683
16536,3816206376.jpg,A man sticks a camera out of his vehicle while driving.,82684
19617,4491044489.jpg,"Two men one wearing a red shirt, and one wearing a white shirt are standing on a boat and paddling it to shore.",98085
19617,4491044489.jpg,"Two men, one in a red shirt and one in a white shirt, are on a boat in the beautiful blue-green water.",98086
19617,4491044489.jpg,Two people on a floating device in the water on a nice day.,98087
19617,4491044489.jpg,Two men stand and row a thin boat in the ocean.,98088
19617,4491044489.jpg,Two men are making their way across the ocean.,98089
3549,2133199628.jpg,Someone in a red shirt and no shoes is sitting with their possessions on the road.,17745
3549,2133199628.jpg,A barefoot man laying down in the crevice under a bridge.,17746
3549,2133199628.jpg,A man laying up against a large concrete complex.,17747
3549,2133199628.jpg,Person lays under a concrete overpass.,17748
3549,2133199628.jpg,This woman is laying on concrete.,17749
12370,3278811919.jpg,"Two skis hike uphill, through a barren, snowy landscape.",61850
12370,3278811919.jpg,The two people carrying skis are walking in the snow.,61851
12370,3278811919.jpg,Two people hiking up a snow covered mountain,61852
12370,3278811919.jpg,A hiker walks through the snowfield.,61853
12370,3278811919.jpg,Two people hike up a snowy hill.,61854
15199,3614269018.jpg,A young man in a yellow rain suit stands beneath a street lamp.,75995
15199,3614269018.jpg,Here we have a guy using a pressure washer on the sidewalk.,75996
15199,3614269018.jpg,A maintenance worker is pressure washing the street.,75997
15199,3614269018.jpg,A man in a yellow jumpsuit is working.,75998
15199,3614269018.jpg,Guy drilling near a lamp post.,75999
11063,3126225245.jpg,A little kid in a striped shirt on a purple floor is getting excited at chasing bubbles.,55315
11063,3126225245.jpg,A young toddler boy dances with bubbles at an inside play area.,55316
11063,3126225245.jpg,Young boy with blond-hair swipes at bubbles in the air.,55317
11063,3126225245.jpg,Little kids play with bubbles as an adult blows them.,55318
11063,3126225245.jpg,The child jumps up at bubbles.,55319
21408,4681944456.jpg,"A little girl in a pink, blue, orange and green hat with her hands on her face posing for the camera.",107040
21408,4681944456.jpg,A little girl with a knit hat laying on a pillow propping her head up with her hands.,107041
21408,4681944456.jpg,Little girl wearing a colorful hat while propped up on a cushion.,107042
21408,4681944456.jpg,A little girl smiling in a colorful knitted hat.,107043
21408,4681944456.jpg,Asian Child in fancy hat posing for picture,107044
22449,476009642.jpg,"A boy wearing brown shorts and a red t-shirt and a girl wearing khaki pants and a blue shirt are jumping in the air really high, they are on a round, white Asian looking bridge over a small river.",112245
22449,476009642.jpg,A young man and woman are excitedly leaping into the air on a bridge at a park.,112246
22449,476009642.jpg,A man and a woman are jumping into the air excitedly on a wooden footbridge.,112247
22449,476009642.jpg,Two people on a bridge in a park jumping with their arms in the air.,112248
22449,476009642.jpg,A man and woman are jumping in the middle of a bridge.,112249
7150,2613021139.jpg,A young girl wearing a hat and blue jeans is on a swing.,35750
7150,2613021139.jpg,The girl is happily swinging on a swing outside.,35751
7150,2613021139.jpg,A little girl swings on the swing.,35752
7150,2613021139.jpg,A young smiling female on a swing.,35753
7150,2613021139.jpg,The girl swings.,35754
19361,4461953198.jpg,A flagman holding a stop sing out on a country road with green trees and mailboxes.,96805
19361,4461953198.jpg,A road worker wearing yellow reflective vest is holding on the mobile stop sign.,96806
19361,4461953198.jpg,A cop wearing a high-visibility vest is holding a stop sign.,96807
19361,4461953198.jpg,A road worker is holding a stop sign to direct traffic.,96808
19361,4461953198.jpg,A man holding up a stop sign.,96809
16708,3847186406.jpg,"There is one man in the foreground with a hammer, another is in the background, possibly doing the same work as the man in the foreground.",83540
16708,3847186406.jpg,Old man in third world country squats while working with a large hammer.,83541
16708,3847186406.jpg,A man kneels down to hammer rock outside in the sun.,83542
16708,3847186406.jpg,Two people are working outside in the sun.,83543
16708,3847186406.jpg,Elderly man bends down to hammer.,83544
15495,3653497668.jpg,"A group of adults and children around a large sheet cake, including a man in army fatigues.",77475
15495,3653497668.jpg,A soldier and some civilians are cutting a cake and clapping.,77476
15495,3653497668.jpg,A soldier is helping two young children cut a large cake.,77477
15495,3653497668.jpg,A family and a man in military clothing look at a cake.,77478
15495,3653497668.jpg,A birthday party for many little people to enjoy.,77479
30334,8088028369.jpg,"A bald man with a beard is playing a saxophone in a dimly-lit room, with pictures on the wall behind him.",151670
30334,8088028369.jpg,A male saxophone player belts out a song in the dim light of a local establishment.,151671
30334,8088028369.jpg,A man plays the saxophone in a dark room lit with a red light.,151672
30334,8088028369.jpg,A man is playing the saxophone.,151673
30334,8088028369.jpg,A man is playing the saxophone.,151674
18273,424261682.jpg,2 girls dressed in winter clothes snuggling up to a snowman with a scarf.,91365
18273,424261682.jpg,Two blond girls are posing with a snowman that is taller than them.,91366
18273,424261682.jpg,Two proud young blond girls snuggle up to a freshly made snowman.,91367
18273,424261682.jpg,Two young women proudly pose with the snowman they completed.,91368
18273,424261682.jpg,Two young girls are hugging a snowman.,91369
9102,2875583266.jpg,A sponsored motorcyclist is making a turn on a racing circuit.,45510
9102,2875583266.jpg,A motorcyclist is leaning into a curve with his motorcycle,45511
9102,2875583266.jpg,A motorcycle racer leaning over to take a sharp turn.,45512
9102,2875583266.jpg,A race motorcycle takes a sharp turn on the track.,45513
9102,2875583266.jpg,A blue motorcycle is being driven on a racetrack.,45514
2210,1698837338.jpg,A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.,11050
2210,1698837338.jpg,A beautiful long-haired blond girl dressed in a blue and green bikini walking down a street,11051
2210,1698837338.jpg,Carnivals are especially when visiting other countries.,11052
2210,1698837338.jpg,A lady dressed in a peacock outfit at a parade.,11053
2210,1698837338.jpg,Parade participant is enjoying the crowd.,11054
28231,6681703035.jpg,"Hairdressers, one male and one female, work on the haircuts of two people of the opposite gender of their tender.",141155
28231,6681703035.jpg,A man styles a woman's hair with a woman styling a man's hair in the background.,141156
28231,6681703035.jpg,A man and a woman are getting haircuts.,141157
28231,6681703035.jpg,A man cutting a Woman's hair.,141158
28231,6681703035.jpg,A man who is cutting hair.,141159
19227,4447440388.jpg,"Two females, one wearing a yellow dress, the other wearing a white top and black shorts posing for a picture.",96135
19227,4447440388.jpg,A woman in a white shirt poses for the camera in front of another woman in a yellow dress.,96136
19227,4447440388.jpg,Two girls getting ready for a beauty contest hosted by the chief executive officer,96137
19227,4447440388.jpg,"Two brunette women in stylish, sexy dresses posing for a picture.",96138
19227,4447440388.jpg,Two young women posing for the camera.,96139
508,1164765687.jpg,A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals.,2540
508,1164765687.jpg,A man playing with his dog on the blanket on the floor.,2541
508,1164765687.jpg,A man in a red shirt is giving toys to a small dog.,2542
508,1164765687.jpg,A man playing with a black dog on a white blanket.,2543
508,1164765687.jpg,A man is playing tug-of-war with his dog.,2544
3286,2092425006.jpg,Several motorcycle policemen driving on a street or parking lot in a wooded area.,16430
3286,2092425006.jpg,A group of motorcyclists drive around a parking lot.,16431
3286,2092425006.jpg,Motorcyclists with white helmets in a parking lot.,16432
3286,2092425006.jpg,People are riding motorcycles in a circle.,16433
3286,2092425006.jpg,6 motorcycle riders going on tour.,16434
25232,499165634.jpg,"A woman with short, dark hair sitting at a round, white table eating lunch.",126160
25232,499165634.jpg,Young woman in gray shirt and cream sweater eats a hotdog.,126161
25232,499165634.jpg,A woman in blue glasses and a white sweater is eating.,126162
25232,499165634.jpg,An Asian girl eating a hotdog at a diner.,126163
25232,499165634.jpg,An Asian woman in glasses eats.,126164
29453,74213476.jpg,An Asian child dressed in red is crying as an Asian woman appears to be comforting her.,147265
29453,74213476.jpg,"An Asian child in a red coat cries while his mother, in a tan coat, comforts him.",147266
29453,74213476.jpg,An Asian woman is comforting a crying child in a hair salon.,147267
29453,74213476.jpg,"A woman comforts a small, crying child in pajamas.",147268
29453,74213476.jpg,Little chinese boy crying with his mom.,147269
13953,3471746122.jpg,Men taking a break from working on a piece of yellow industrial equipment.,69765
13953,3471746122.jpg,A group of people in blue clothing relax on yellow machinery.,69766
13953,3471746122.jpg,Two men sitting atop a piece of construction equipment.,69767
13953,3471746122.jpg,Men sitting on a yellow machine wearing blue clothes.,69768
13953,3471746122.jpg,A group of men are resting while at work,69769
24899,4958781334.jpg,"An asian couple are heavily dressed in multiple layers, included are hats, long-sleeve shirts, gloves and long pants.",124495
24899,4958781334.jpg,Two Asian women wearing traditional head garb survey a garden.,124496
24899,4958781334.jpg,Two people in a garden wearing hats and protective gloves.,124497
24899,4958781334.jpg,Two workers wearing hats are standing in a field.,124498
24899,4958781334.jpg,Two Asian women working in a sunny garden.,124499
28916,7015055.jpg,A man in a black shirt with a pattern on the left shoulder listens to another man holding a drink.,144580
28916,7015055.jpg,A man in a pink shirt is standing next to two younger men in a dark room.,144581
28916,7015055.jpg,Two men having a conversation in a dark bar.,144582
28916,7015055.jpg,Two men wearing black shirt talking in a bar,144583
28916,7015055.jpg,A few people at a bar.,144584
27514,6177260197.jpg,A local swimmer is wearing a swim cap and swim goggles while swimming in a lake.,137570
27514,6177260197.jpg,"A swim cap-clad man emerges from the water, taking a deep breath.",137571
27514,6177260197.jpg,A man wearing a bathing cap and goggles is swimming in a river.,137572
27514,6177260197.jpg,A swimmer wearing a cap and goggles swimming in a lake.,137573
27514,6177260197.jpg,Male swimmer doing the butterfly stroke in a lake.,137574
23430,4837491077.jpg,A man stands on a transportation platform with earphones and a handheld electronic device.,117150
23430,4837491077.jpg,A man in a pink shirt is listening to his iPad while he waits for the train.,117151
23430,4837491077.jpg,A man wearing headphones and a pinkish shirt looking at his notebook.,117152
23430,4837491077.jpg,Young professional man using his notebook phone at a subway platform.,117153
23430,4837491077.jpg,A man wearing a pink shirt has headphones on.,117154
21911,4718115322.jpg,A woman in black talking to a woman in purple standing behind a long table of hats talking about hats.,109555
21911,4718115322.jpg,Two women are talking at a booth that is full of hats.,109556
21911,4718115322.jpg,Women at outdoor hat stall discussing hats.,109557
21911,4718115322.jpg,Two women holding hats at a hat stand,109558
21911,4718115322.jpg,Two women looking at hats.,109559
40,10101477.jpg,"Man wearing a blue and white outfit, holding a broom, with a traditional Asian architecture in the background.",200
40,10101477.jpg,A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement.,201
40,10101477.jpg,A man in a white and blue kimono is using a broom to sweep pavement.,202
40,10101477.jpg,Man sweeping the street outside.,203
40,10101477.jpg,Asian man sweeping the walkway.,204
21444,4684604794.jpg,An East Asian man in a black jacket and a woman in a salmon-colored jacket are looking at goods in an Asian grocery store.,107220
21444,4684604794.jpg,A man and woman are looking at something inside a market filled with many foods.,107221
21444,4684604794.jpg,A man and a woman examine the wares of fresh produce at a grocery store.,107222
21444,4684604794.jpg,"Lady in red jacket, man in black jacket in open market.",107223
21444,4684604794.jpg,An Asian man and woman in a produce market.,107224
17296,3983874347.jpg,"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",86480
17296,3983874347.jpg,Three male safety workers in neon yellow vests are taking their break.,86481
17296,3983874347.jpg,"Three workers in bright green vests, taking a break.",86482
17296,3983874347.jpg,Three construction workers sit down and take a break.,86483
17296,3983874347.jpg,Construction workers have a hard job.,86484
29029,708860480.jpg,A boy is standing in a pool getting splashed with water.,145145
29029,708860480.jpg,A young boy with a necklace on in the water.,145146
29029,708860480.jpg,A boy is being splashed in a swimming pool.,145147
29029,708860480.jpg,A little boy in a swimming pool.,145148
29029,708860480.jpg,A boy in a swimming pool.,145149
30412,8155663151.jpg,A man in a green hat and white graphic tee stands near a woman in a black shirt with a scarf and watches a woman in a gray shirt dance.,152060
30412,8155663151.jpg,Youths dance together in a dark room with a British flag prominently displayed on the wall.,152061
30412,8155663151.jpg,A dozen people at a house party in a living room decorated with a British flag.,152062
30412,8155663151.jpg,People dancing in a room with a British flag hanging on the wall.,152063
30412,8155663151.jpg,Several people are dancing and partying together.,152064
11653,3197247245.jpg,A boy on a bike is jumping over a metal rail in a playground.,58265
11653,3197247245.jpg,Young man on bike jumping over outdoor playground equipment.,58266
11653,3197247245.jpg,A cyclist is performing a jump over a white railing.,58267
11653,3197247245.jpg,A man rides his bike over a stair handrail.,58268
11653,3197247245.jpg,A boy is jumping a rail on his bicycle.,58269
8526,2796921601.jpg,"A young boy, wearing a red sports uniform, stands in the middle of an empty sports field under a dark blue sky.",42630
8526,2796921601.jpg,"A young boy, wearing a red soccer shirt, socks and cleats, is standing on a field of green grass.",42631
8526,2796921601.jpg,You have a boy who is looking at something in soccer clothes on a grass field.,42632
8526,2796921601.jpg,A young person wearing a red shirt and socks is standing by himself.,42633
8526,2796921601.jpg,A boy stands ready to play in a soccer game,42634
25600,5150742824.jpg,A young girl in cute boots is showing some papers to a man sitting in a theater seat,128000
25600,5150742824.jpg,A young woman looks at a paper with a man sitting down in a brown shirt.,128001
25600,5150742824.jpg,A child standing on stairs is handing a piece of paper to a seated man.,128002
25600,5150742824.jpg,Two people in a lecture hall are holding a plastic sheet.,128003
25600,5150742824.jpg,This is a young girl handing out papers.,128004
11377,3168796547.jpg,Two children sitting on a deer statue for a photo.,56885
11377,3168796547.jpg,Two young children sit on top of a deer statue.,56886
11377,3168796547.jpg,Two little kids riding on a fake reindeer.,56887
11377,3168796547.jpg,Two children sit on an animal's back.,56888
11377,3168796547.jpg,Two kids sit on a statue of a deer.,56889
24670,4940831845.jpg,A pretty young woman in a low cut top and blue skirt walking down the street.,123350
24670,4940831845.jpg,A young blond woman walks through a street with a black purse.,123351
24670,4940831845.jpg,A brunette wearing a gray tank top walks down the street.,123352
24670,4940831845.jpg,A white woman in a dress walks down the sidewalk.,123353
24670,4940831845.jpg,A young woman in a dress walks the street.,123354
30514,8239100625.jpg,Three skateboarders with helmets look like they are going very fast.,152570
30514,8239100625.jpg,Downhill skaters wear padding to protect themselves when they fall.,152571
30514,8239100625.jpg,Three men racing downhill on modified skateboards and race gear.,152572
30514,8239100625.jpg,Three skaters appear to be reducing wind resistance to gain speed.,152573
30514,8239100625.jpg,Three men compete in a skateboard race.,152574
